
Dept. of the Interior
U.S. Geological Survey
Energy Resources Team

Selected Data from Fourteen Wildcat Wells in 
the National Petroleum Reserve in Alaska

USGS Open File Report 00-200 

Wildcat Well East Simpson 2 Permeability, Porosity, and Grain Density Information

         Permeability   Permeability                      Grain           Oil           Total
 Depth,   Horizontal,     Vertical,      Porosity        Density      Saturation        Water                         Analysis
  feet   millidarcies   millidarcies      percent         g/cc          percent        percent    Core Type           method              Remarks
  6730       0.51                          22.8           2.68                                    conventional                            ss, vfgr
  6731        0.1                          17.4           2.69                                    conventional                            ss, vfgr
  6732       0.39                          19.1            267                                    conventional                            ss, vfgr
  6733       0.12                          17.2           2.68                                    conventional                            ss, vfgr
  6734       0.12                          17.4           2.66                                    conventional                            ss, vfgr
  6735       0.46                          21.3           2.69                                    conventional                            ss, vfgr
  7167        15                           15.1           2.68                                    conventional                            ss, vfgr slty calc
  7168       7.95                          13.6            2.7                                    conventional                            ss, vfgr slty calc
  7169       1.17                           7.1           2.64                                    conventional                            ss, vfgr slty
  7170       0.84                           7.4           2.64                                    conventional                            ss, vfgr slty
  7171       1.38                           7.8           2.64                                    conventional                            ss, vfgr slty
  7172       0.08                           5.3           2.63                                    conventional                            ss, vfgr slty
  7173       0.06                           2.9           2.64                                    conventional                            ss, vfgr slty
  7174        428            250           15.6           2.64            5.1           34.4      conventional                            ss, vf-mgr slty
 7174.5       491            461            17            2.64                                    conventional                            ss, vf-mgr slty
  7175        744            218           19.3           2.64            6.1           34.4      conventional                            ss, vf-mgr slty
 7175.5       139            388           10.3           3.26                                    conventional                            ss, vf-mgr slty pyr
  7176        693            62            17.6           2.64            7.1           50.4      conventional                            ss, vf-mgr slty
 7176.5       347            215           15.6           2.76                                    conventional                            ss, vf-mgr slty pyr
  7177        837            99            16.9           2.64            1.4           67.7      conventional                            ss, vf-mgr slty
 7177.5       464            60            17.2           2.64                                    conventional                            ss, vf-mgr slty
  7178        903            36             19            2.64            7.4           44.4      conventional                            ss, vf-mgr slty
 7178.5       14             128           17.2           2.64                                    conventional                            ss, vf-mgr slty
  7179        688            163           18.8           2.64            3.4           68.2      conventional                            ss, vf-mgr slty
 7179.5       801            138           17.5           2.64                                    conventional                            ss, vf-mgr slty
  7180        875            74            17.5           2.64            1.5           70.3      conventional                            ss, vf-mgr slty
 7180.5       642            127           16.5           2.68                                    conventional                            ss, vf-mgr slty
  7181        466            153           14.7           2.64            1.7            76       conventional                            ss, vf-mgr slty
 7181.5       499            171           15.4           2.64                                    conventional                            ss, vf-mgr slty
  7182        0.1           0.02            3.6           2.64                                    conventional                            ss, vfgr slty cly
  7183       <.01           <.01            2.1           2.64                                    conventional                            sltst
  7184       0.17           0.04            5.7           2.64                                    conventional                            ss, vfgr v slty
  7187        62             68            11.8           2.64                                    conventional                            ss, vfgr
  7188        116            116           14.3           2.64                                    conventional                            ss, fgr
  7189        95            9.11           13.1           2.64                                    conventional                            ss, fgr
  7190        256            53            13.5           2.64                                    conventional                            ss, mgr
  7248        280            166           15.4           2.62            3.1            45       conventional                            ss, m-cgr
  7249       <.01           <.01            1.4           2.64                                    conventional                            ss, vfgr slty
  7250        59            7.09           13.3           2.65            1.9           63.2      conventional                            ss, fgr
  7251        341            21            12.9           2.62            0.8           51.5      conventional                            ss, m-cgr sc carb
  7252        252            86             15            2.62             0            55.2      conventional                            ss, mgr sc carb
  7253        854            129            14            2.63             0            55.3      conventional                            ss, m-cgr sc carb
  7254        324                          15.6           2.64                                    conventional                            ss, m-cgr sc carb
  7255        275                          12.8           2.63                                    conventional                            ss, m-cgr sc carb
  7256        647                           14            2.63                                    conventional                            ss, m-cgr sc carb
  7257        189                          17.7           2.64                                    conventional                            ss, fgr
